kanji,meanings,readings,stroke_number,unicode
承,acquiesce; be informed; hear; listen to; receive,ショウ; ジョウ; う.ける; うけたまわ.る; うけ; こと; すけ; つぎ; つぐ; よし,8,627F
象,elephant; image; imitate; pattern after; shape; sign (of the times),ショウ; ゾウ; かたど.る; きさ,12,8C61
織,fabric; weave,シキ; ショク; -お.り; -おり; お.り; お.る; おり; こおり; こり; のり,18,7E54
真,Buddhist sect; reality; true,シン; ま; ま-; まこと; さな; さね; ただ; ただし; なお; のり; まあ; まこ; まさ; まっ; まど; まな; まゆ; みち; も,10,771F
水,water,スイ; みず; みず-; うず; ずみ; つ; ど; み; みさ; みつ; みな; みん,4,6C34
星,dot; mark; spot; star,ショウ; セイ; -ぼし; ほし,9,661F
誠,admonish; fidelity; prohibit; sincerity; truth; warn,セイ; まこと; きよ; さと; しげ; とも; のぶ; ま; まこ; まさ,13,8AA0
切,be sharp; cut; cutoff,サイ; セツ; -き.り; -き.る; -き.れ; -き.れる; -ぎ.り; -ぎ.れ; き.り; き.る; き.れ; き.れる; きつ; きり; ぎり,4,5207
千,thousand,セン; ち; かず; ゆき,3,5343
前,before; in front,ゼン; -まえ; まえ; さき; さと; まい,9,524D
早,early; fast,サッ; ソウ; さ-; はや; はや-; はや.い; はや.まる; はや.める; さか; さわ; そ; わ,6,65E9
造,create; make; physique; structure,ゾウ; -づく.り; つく.り; つく.る; ずくり; づくり; み,10,9020
続,continue; sequel; series,キョウ; コウ; ショク; ゾク; つぐ.ない; つづ.く; つづ.ける; つぐ,13,7D9A
打,dozen; hit; knock; pound; strike,ダ; ダース; う.ち-; う.つ; ぶ.つ; うち,5,6253
台,a stand; counter for machines and vehicles; pedestal,タイ; ダイ; うてな; つかさ; われ,5,53F0
断,apologize; cutting; decision; decline; dismiss; judgement; prohibit; refuse; severance; warn,ダン; ことわ.る; さだ.める; た.つ,11,65AD
着,arrive; counter for suits of clothing; don; wear,ジャク; チャク; き.せる; き.る; つ.く; つ.ける,12,7740
帳,account book; album; curtain; net; notebook; tent; veil,チョウ; とばり,11,5E33
追,chase; drive away; follow; meanwhile; pursue,ツイ; お.う; おい,9,8FFD
敵,enemy; foe; opponent,テキ; あだ; かたき; かな.う,15,6575
伝,communicate; follow; go along; legend; report; tradition; transmit; walk along,テン; デン; -づた.い; つた.う; つた.える; つた.わる; つだ.う; つて; つたえ,6,4F1D
冬,winter,トウ; ふゆ,5,51AC
統,governing; overall; relationship; ruling,トウ; す.べる; ほび.る; のり; むね,12,7D71
銅,copper,ドウ; あかがね,14,9285
難,accident; defect; difficult; impossible; trouble,ナン; -がた.い; -にく.い; かた.い; むずか.しい; むつか.しい; むづか.しい; な; なに,18,96E3
念,attention; desire; feeling; idea; sense; thought; wish,ネン,8,5FF5
敗,defeat; failure; reversal,ハイ; やぶ.れる,11,6557
発,counter for gunshots; departure; discharge; disclose; emit; publish; start from,ハツ; ホツ; あば.く; おこ.る; た.つ; つか.わす; はな.つ; ば; わ,9,767A
悲,deplore; grieve; regret; sad,ヒ; かな.しい; かな.しむ,12,60B2
必,certain; inevitable; invariably,ヒツ; かなら.ず,5,5FC5
秒,second (1/60 minute),ビョウ,9,79D2
父,father,フ; ちち,4,7236
仏,Buddha; France; the dead,フツ; ブツ; ほとけ,4,4ECF
米,USA; metre; rice,ベイ; マイ; メエトル; こめ; よね; は; べ; まべ; め; よ; よな; よの; よま,6,7C73
歩,counter for steps; walk,フ; ブ; ホ; あゆ.む; ある.く; あ; ゆき; ゆみ,8,6B69
暴,cruelty; force; fret; outburst; outrage; rave; violence,バク; ボウ; あば.く; あば.れる,15,66B4
万,"10,000; ten thousand",バン; マン; よろず; かず; ま; ゆる,3,4E07
明,bright; light,ミョウ; ミン; メイ; -あ.け; あ.かす; あ.かり; あ.く; あ.くる; あ.ける; あか.らむ; あか.るい; あか.るむ; あき.らか; あきら; あけ; あす; きら; け; さや; さやか; とし; はる; み; め,8,660E
門,counter for cannons; gate,モン; かど; と; じょう; も; ゆき,8,9580
友,friend,ユウ; とも; う; ど; ゆ,4,53CB
様,Esq.; manner; polite suffix; situation; way,ショウ; ヨウ; さま; さん,14,69D8
落,come down; drop; fall; hamlet; village,ラク; お.ち; お.ちる; お.とす; おち,12,843D
留,detain; fasten; halt; stop,リュウ; ル; と.まる; と.める; とど.まる; とど.める; るうぶる; とめ,10,7559
臨,attend; call on; confront; face; look to; meet,リン; のぞ.む; み,18,81E8
連,clique; connect; gang; join; lead; party; take along,レン; -づ.れ; つ.れる; つら.なる; つら.ねる; ずれ; つれ; むらじ; れ,10,9023
安,cheap; contented; low; peaceful; quiet; relax; rested,アン; やす; やす.い; やす.まる; やす.らか; あ; あす; あず; あっ; や,6,5B89
異,curious; different; queerness; strangeness; uncommon; unusual; wonderful,イ; け; こと; こと.なる,11,7570
因,be associated with; be limited to; cause; depend on; factor,イン; ちな.む; よ.る; て,6,56E0
永,eternity; lengthy; long,エイ; なが.い; え; と; のり; ひさ; ひさし,5,6C38
演,act; performance; play; render; stage,エン,14,6F14
屋,dealer; house; roof; seller; shop,オク; や; た,9,5C4B
可,can; do not; mustn't; passable; should not,カ; コク; -べ.き; -べ.し; よし,5,53EF
課,chapter; counter for chapters (of a book); department; division; lesson; section,カ,15,8AB2
快,agreeable; cheerful; comfortable; pleasant,カイ; こころよ.い; よし,7,5FEB
害,harm; injury,ガイ,10,5BB3
額,amount; forehead; framed picture; plaque; sum; tablet; volume,ガク; ひたい; ぬか,18,984D
慣,accustomed; become experienced; get used to,カン; な.らす; な.れる,14,6163
岩,boulder; cliff; rock,ガン; いわ,8,5CA9
機,airplane; efficacy; loom; machine; mechanism; occasion; opportunity; potency,キ; はた,16,6A5F
技,ability; art; arts; craft; feat; performance; skill; vocation,ギ; わざ,7,6280
救,help; reclaim; rescue; salvation; save,キュウ; すく.う,11,6551
挙,actions; behavior; plan; project; raise,キョ; あ.がる; あ.げる; こぞ.る; たか,10,6319
強,strong,キョウ; ゴウ; こわ.い; し.いる; つよ.い; つよ.まる; つよ.める; すね,11,5F37
勤,become employed; diligence; serve,キン; ゴン; -づと.め; いそ.しむ; つと.まる; つと.める,12,52E4
具,"counter for armor, suits, sets of furniture; ingredients; means; possess; tool; utensil",グ; そな.える; つぶさ.に; とも,8,5177
形,form; shape; style,ギョウ; ケイ; -がた; かた; かたち; なり; ち,7,5F62
潔,clean; gallant; pure; righteous; undefiled,ケツ; いさぎよ.い; きよ; きよし,15,6F54
検,examination; investigate,ケン; しら.べる,12,691C
原,field; meadow; original; plain; prairie; primitive; tundra; wilderness,ゲン; はら; た; ばる; ら; わた; わら,10,539F
庫,storehouse; warehouse,ク; コ; くら,10,5EAB
交,association; coming & going; mingle; mixing,コウ; -か.う; か.わす; かわ.す; こもごも; ま.ざる; ま.じる; ま.ぜる; まじ.える; まじ.る; まじ.わる; かた,6,4EA4
孝,child's respect; filial piety,キョウ; コウ; たか; たかし; のり; よし,7,5B5D
考,consider; think over,コウ; かんが.え; かんが.える; たか,6,8003
穀,cereals; grain,コク; たけ,14,7A40
妻,spouse; wife,サイ; つま; ずま; め,8,59BB
材,ingredients; log; lumber; materials; talent; timber; wood,ザイ; き; さい,7,6750
雑,miscellaneous,ザツ; ゾウ; まじ.える; まじ.る,14,96D1
残,balance; leftover; remainder,サン; ザン; そこな.う; のこ.す; のこ.り; のこ.る,10,6B8B
市,city; market; town,シ; いち; い; ち,5,5E02
糸,thread,シ; いと,6,7CF8
似,becoming; counterfeit; imitate; resemble; suitable,ジ; に.る; ひ.る; にた,7,4F3C
自,oneself,シ; ジ; おの.ずから; おの.ずと; みずか.ら; より,6,81EA
写,be photographed; copy; describe,シャ; ジャ; うつ-; うつ.し; うつ.す; うつ.る,5,5199
守,defend; guard; obey; protect,シュ; ス; -もり; かみ; まも.り; まも.る; もり; う; し; て; も,6,5B88
宗,denomination; essence; main point; origin; religion; sect,シュウ; ソウ; むね; かず; し; そ; そお; たか; とし; のり; ひろ; むな; もと; よし,8,5B97
集,congregate; flock; gather; meet; swarm,シュウ; あつ.まる; あつ.める; つど.う; あつまり; ず,12,96C6
春,spring (season); springtime,シュン; はる; あずま; かす; すの; ひ; わら,9,6625
助,assist; help; rescue,ジョ; す.ける; すけ; たす.かる; たす.ける,7,52A9
招,beckon; engage; invite; summon,ショウ; まね.く,8,62DB
賞,praise; prize; reward,ショウ; ほ.める,15,8CDE
職,employment; post; work,ショク; ソク; もと,18,8077
神,gods; mind; soul,シン; ジン; かみ; かん-; こう-; か; かぐ; かな; かも; くま; こ; こは; だま; み,9,795E
数,fate; figures; law; number; strength,サク; シュ; ス; スウ; ソク; かず; かぞ.える; しばしば; せ.める; わずらわ.しい; じゅ,13,6570
